Language Name,Dialect(s) Name(s),Language Iso,Dialect(s) Iso,Language Glot,Dialect(s) Glot
Maiwala,,mum,,maiw1249,
Maiwa (Indonesia),,wmm,,maiw1250,
Maiwa (Papua New Guinea),"Gairen, Gwareta, Maiwa, Manigara, Oren",mti,,maiw1251,"gair1238, gwar1241, maiw1252, mani1298, oren1238"
Majang,,mpe,,maja1242,
Majera,"Hwalem, Kajire-'dulo, Nuclear Majera",xmj,,maje1243,"hwal1242, kaji1238, nucl1687"
Majhwar,,mmj,,majh1236,
Majhi,,mjz,,majh1253,
Mak-Ai-Cham,"Ai-Cham, Mak (China)",,"aih, mkg",maka1300,"aich1238, makc1235"
Makaa,"Bebent, Mbwaanz, Sekunda",mcp,,maka1304,"bebe1249, mbwa1238, seku1238"
Makassar Malay,,mfp,,maka1305,
Makassaric,"Konjo, Nuclear Makassaric, Selayar",,sly,maka1310,"konj1250, nucl1727, sela1260"
Makasar,"Gowa, Maros-Pangkep, Turatea",mak,,maka1311,"gowa1239, maro1245, tura1262"
Makayam,Giribam,aup,,maka1315,giri1244
Makasae-Makalero,"Makasai, Maklere",mkz,mjb,maka1316,"maka1317, makl1245"
Makah,,myh,,maka1318,
Makaa-Njem (A.80),"Bomwali, Mpoic, Western A80, Yambe",,bmw,maka1323,"bomw1238, mpoi1234, west2967, yamb1255"
Makaaic,"North-Central Makaaic, Southern Makaaic",,,maka1324,"nort3375, sout3352"
Makah-Nitinat,"Ditidaht, Makah",,"dtd, myh",maka1326,"diti1235, maka1318"
Makaa-Kako (A.80-90),"Kako, Kwakum, Makaa-Njem (A.80), Pol, Pomo-Kweso",,"kkj, kwu, pmm",maka1327,"kako1242, kwak1266, maka1323, pomo1271, pomo1276"
Mak (China),"Chi, Ching, Hwa, Lyo, Mak",mkg,,makc1235,"chii1238, chin1463, hwaa1238, lyoo1238, makk1244"
Makhuwa-Shirima,,vmk,,makh1260,
Makhuwa-Meetto,Medo,mgh,,makh1261,medo1241
Makhuwa-Marrevone,"Makhuwana, Naharra, Nampamela",xmc,,makh1262,"makh1263, naha1263, namp1238"
Makhuwa,"Central Makua, Empamela, Emwaja, Enaharra, Enlai, Enyara",vmw,,makh1264,"cent2033, empa1240, emwa1238, enah1238, enla1242, enya1245"
Makhuwa-Moniga,,mhm,,makh1265,
Makhuwa-Saka,"Rati, Saaka",xsq,,makh1266,"rati1238, saka1284"
Maklew,,mgf,,makl1246,
Mak (Nigeria),"Panya, Zo",pbl,,makn1235,"pany1242, zooo1239"
Makolkol,,zmh,,mako1250,
Makonde,"Maraba, Matambwe, Maviha, Vadonde, Vamakonde, Vamwambe, Vamwalu",kde,wtb,mako1251,"mara1389, mata1313, mavi1238, vado1243, vama1242, vamw1241, vamw1242"
Makonde-Makwe,"Makonde, Makwe",,"kde, ymk",mako1254,"mako1251, makw1236"
Mak-Tal,"Mághdì, Mak (Nigeria)",,"gmd, pbl",makt1234,"magh1238, makn1235"
Máku,,xak,,maku1246,
North Mozambique Bantu,"Chuwaboic, Kokola, Koti, Maindo, Makua-Lomwe, Manyawa, Nathembo",,"kzn, eko, cwb, mny, nte",maku1247,"chuw1239, koko1267, koti1238, main1272, maku1279, many1259, nath1238"
Makuric,"Long Phuri Naga, Makuri Naga",,"lpn, jmn",maku1272,"long1375, maku1273"
Makuri Naga,,jmn,,maku1273,
Maku'a,,lva,,maku1277,
Makuráp,,mpu,,maku1278,
Makua-Lomwe,"Lomweic, Makhuwa-Shirima, Makhuwa-Meetto, Makhuwa-Marrevone, Makhuwa, Makhuwa-Moniga, Makhuwa-Saka",,"vmk, mgh, xmc, vmw, mhm, xsq",maku1279,"lomw1242, makh1260, makh1261, makh1262, makh1264, makh1265, makh1266"
Makwe,"Coastal Makwe, Interior Makwe",ymk,,makw1236,"coas1292, inte1257"
Makyam-Kuku Naga,"Kuku Naga, Makyam Naga",umn,,maky1235,"kuku1288, maky1236"
Malawi Lomwe,,lon,,mala1256,
Malaysian Sign Language,,xml,,mala1412,
Malakhel,,mld,,mala1431,
Malali,,,,mala1432,
Mala Malasar,,ima,,mala1457,
Malasar,,ymr,,mala1458,
Malankuravan,Malayadiars,mjo,,mala1459,mala1460
Malavedan,"Vetan, Vettuvan",mjr,,mala1463,"veta1237, vett1239"
Malayalam,"Central Kerala, Jewish Malayalam, Kayavar, Malabar, Moplah, Nagari-Malayalam, Namboodiri, Nasrani, Nayar, North Kerala, Nuclear Malayalam, Pulaya, South Kerala",mal,,mala1464,"cent1998, jewi1241, kaya1314, mala1465, mopl1237, naga1395, namb1289, nasr1237, naya1237, nort2700, nucl1303, pula1261, sout2708"
Malaryan,,mjq,,mala1466,
Malapandaram,,mjp,,mala1468,
Mala (Nigeria),,ruy,,mala1471,
Malawi Sena,,swk,,mala1475,
Central Malay,"Deli Malay, Jambi Pesisir, Johor Malay, Kuala Lumpur Malay, Melayu Ulu Kapuas, Melaka Malay, Riau Malay, Riau Sea Tribe Cluster Malay, Sambas Malay, Sarawak Malay, Sedentary Belitung Malay, Selangor Malay, Siak Malay",zlm,,mala1479,"deli1235, jamb1237, joho1234, kual1254, mela1260, mela1261, riau1234, riau1235, samb1326, sara1351, sede1248, sela1263, siak1239"
Malayic Dayak,"Arut, Banana', Beginci, Belantikan, Delang, Gerai, Kayung, Lamandau, Mentebah-Suruk, Riam, Semitau, Suhaid, Sukamara, Tapitn",xdy,"ebc, gef",mala1480,"arut1243, bana1286, begi1237, bela1257, dela1250, gera1241, kayu1242, lama1276, ment1247, riam1237, semi1262, suha1237, suka1243, tapi1252"
Manado Malay,,xmm,,mala1481,
Malaccan Creole Malay,,ccm,,mala1482,
Malango,,mln,,mala1484,
Longgu-Malaita-Makira,"Longgu, Malaita-Makira",,lgu,mala1485,"long1395, mala1540"
Malasanga,"Nuclear Malasanga, Singorokai",mqz,,mala1487,"nucl1509, sing1268"
Malalamai,,mmt,,mala1489,
Mala (Papua New Guinea),,ped,,mala1494,
Manep,,mkr,,mala1495,
Malayo,,mbp,,mala1522,
Malacca-Batavia Portuguese Creole,,mcm,,mala1533,
Malaweg,,,,mala1534,
Malagasic,"North-Central Malagasic, Southwestern Malagasic",,,mala1537,"nort3196, sout3174"
Malayic,"Duano, Haji, Ibanic, Malayic Dayak, Nuclear Malayic, Old Malay, Western Malayic Dayak",,"dup, hji, xdy",mala1538,"duan1242, haji1235, iban1263, mala1480, nucl1806, oldm1243, west2821"
Malakula,"Eastern Malakula linkage, Northern Malakula, Western Malakula linkage",,,mala1539,"east2753, nort3223, west2871"
Malaita-Makira,"Malaita, Sa'a, Makira",,apb,mala1540,"mala1542, saaa1240, sanc1243"
Malayalamoid,"Allar, Aranadan, Kadar, Kalanadic, Kanikkaran, Kurichiya, Malankuravan, Malavedan, Malayalam, Malaryan, Mullu Kurumba, Ravulic, Thachanadan, Ullatan, Vishavan, Wayanad Chetti",,"all, aaf, kej, kev, kfh, mjo, mjr, mal, mjq, kpb, thn, ull, vis, ctt",mala1541,"alla1247, aran1261, kada1242, kala1406, kani1275, kuri1256, mala1459, mala1463, mala1464, mala1466, mull1244, ravu1238, thac1235, ulla1237, vish1243, waya1264"
Malaita,"Central-Northern Malaita, Southern Malaita",,,mala1542,"nort2833, sout3198"
Malabar-Sri Lanka Portuguese,,,,mala1544,
Malayo-Polynesian,"Aru, Ati, Bali-Sasak-Sumbawa, Basap-Greater Barito, Batanic, Bilic, Bima-Lembata, Celebic, Central Luzon, Chamorro, Eastern Malayo-Polynesian, Enggano, Greater Central Philippine, Greater Seram Laut, Javanesic, Kalamian, Lampungic, Land Dayak, Maduresic, Malayo-Chamic, Minahasan, Moken-Moklen, Nasal, Northwest Sumatra-Barrier Islands, North Mangyan, Northern Luzon, North Borneo Malayo-Polynesian, Nunusaku, Palauan, Rejang, Sangiric, South Sulawesi, Sundanese, Tanimbar-Bomberai, Timor-Babar, Tolitoli, West Central Maluku, Central Timor",,"atk, cha, eno, nsy, pau, rej, sun",mala1545,"aruu1241, atii1237, bali1277, basa1291, bata1315, bili1253, bima1248, cele1242, cent2080, cham1312, east2712, engg1245, grea1284, grea1302, java1253, kala1389, lamp1241, land1261, madu1247, mala1554, mina1272, moke1241, nasa1239, nort2829, nort2873, nort3238, nort3253, nunu1252, pala1344, reja1240, sang1335, sout2923, sund1252, tani1260, timo1265, toli1244, west2817, west2945"
Malay (individual language),,mly,,mala1546,
Malay-based pidgin,Broome Pearling Lugger Pidgin,,bpl,mala1547,broo1238
Malaysian Sign,"Indonesian Sign, Malaysian Sign Language, Selangor Sign Language",,"xml, kgi",mala1548,"indo1333, mala1412, sela1253"
Malawian Sign Language,,lws,,mala1549,
Malasa-Eravallan,"Eravallan, Malasar",,"era, ymr",mala1550,"erav1242, mala1458"
Malayo-Chamic,"Aceh-Chamic, Malayic",,,mala1554,"cham1327, mala1538"
Malba Birifor,"Northern Birifor, Wile",bfo,,malb1235,"biri1258, wile1238"
Maleng,"Bo-Maleng, Kha Phong, Malieng",pkt,bgl,male1282,"bola1249, khap1242, mali1278"
Male (Ethiopia),,mdy,,male1284,
Maleu-Kilenge,"Kilenge, Maleu",mgl,,male1289,"kile1242, male1290"
Male (Papua New Guinea),,mdc,,male1291,
Malecite-Passamaquoddy,"Malecite, Passamaquoddy",pqm,,male1292,"male1293, pass1249"
Maléku Jaíka,,gut,,male1297,
Na'ahai,Orierh,mlx,,malf1237,orie1237
Malgana,,vml,,malg1242,
Malgbe,"Douguia, Dro, Goulfey, Mara (Malgbe), Nuclear Malgbe, Walia (Malgbe)",mxf,,malg1250,"doug1242, droo1238, goul1242, mara1413, nucl1688, wali1273"
Malgwa,,,,malg1251,
Malibu,,,,mali1242,
Malila,,mgq,,mali1279,
Malimba,,mzd,,mali1280,
Malimpung,,mli,,mali1283,
Mali,,gcc,,mali1284,
Malinaltepec Me'phaa,"Huizapula-Zapotitlán Tablas, Malinaltepec, Zilacayotitlán",tcf,,mali1285,"huiz1244, mali1286, zila1239"
Maligo,,mwj,,mali1287,
Malinguat,,sic,,mali1288,
Mal,,mlf,,mall1246,
Tamambo,"Ataripoe, Avunatari",mla,,malo1243,"atar1237, avun1237"
Malol,,mbk,,malo1245,
Mar Paharia of Dumka,,mkb,,malp1246,
Maltese Sign Language,,mdl,,malt1238,
Malto,"Kumarbhag Paharia, Sauria Paharia",,"kmj, mjt",malt1248,"kuma1274, saur1249"
Maltese,"Gozo, Port Maltese, Rural West Maltese, Rural Central Maltese, Rural East Maltese, Standard Maltese, Zurrieq",mlt,,malt1254,"gozo1238, port1290, rura1249, rura1250, rura1251, stan1322, zurr1238"
Malta-Tunisian Arabic,"Maltese, Tunisian Arabic",,"mlt, aeb",malt1259,"malt1254, tuni1259"
Malua-Tepërav,"Espiegle's Bay, Malua Bay",mll,,malu1245,"espi1235, malu1254"
Maluwawaru,"Mambwe-Lungu, Nyamwanga, Rungwa, Wanda",,"mgr, mwn, rnw, wbh",malu1251,"mamb1296, nyam1275, rung1255, wand1264"
Malungu-Central Sabi,"Bwile, Central Sabi, Taabwa",,"bwc, tap",malu1252,"bwil1245, cent2321, taab1238"
Malvi,"Bachadi, Bhoyari, Dholewari, Hoshangabad, Jamral, Katiyai, Malvi Proper, Patvi, Rajawadi, Rangari (Malvi), Rangri, Sondhwadi, Ujjaini, Umadwadi",mup,,malv1243,"bach1242, bhoy1241, dhol1238, hosh1238, jamr1238, kati1271, malv1244, patv1238, raja1250, rang1262, rang1263, sond1249, ujja1238, umad1240"
Mamara Senoufo,"Bàjii, Kle Noehmõ, Koloo, Kujaa, Mìjuu, Nafãã, Nejuu, Sõghoo, Suõõ",myk,,mama1271,"baji1239, klen1239, kolo1264, kuja1240, miju1244, nafa1257, neju1238, sogh1238, suoo1238"
Mama,,mma,,mama1272,
Mamanwa,,mmn,,mama1275,
Mamasa,"Central Mamasa, Northern Mamasa, Pattae'",mqj,,mama1276,"cent2102, nort2896, patt1250"
Mamaa,,mhf,,mama1277,
Mamaindé,,wmd,,mama1278,
Mambai,,mcs,,mamb1294,
Mambwe-Lungu,"Mambwe, Rungu",mgr,,mamb1296,"mamb1297, rung1256"
Mamboru,,mvd,,mamb1305,
Mambae,"Damata, Lolei, Mambai (East Timor), Manua",mgm,,mamb1306,"dama1271, lole1240, mamb1307, manu1259"
Mambiloid,"Ndoola, Nizaa-Mambila-Vute",,ndr,mamb1309,"ndoo1241, niza1234"
Mambila-Vute,"Mambila-Mbongno, Vutic",,,mamb1310,"mamb1311, vuti1235"
Mambila-Mbongno,"Mambila, Mbongno-Mvano",,,mamb1311,"mamb1312, mbon1254"
Mambila,"Eastern Mambila, Western Mambila, Njerup",,mzk,mamb1312,"east2806, nige1255, njer1241"
"Mam, Central",,mvc,,mamc1234,
Mamean,"Mam, Tektiteko",,"mam, ttc",mame1240,"mamm1241, tekt1235"
Mamfe,"Kendem-Denya, Kenyang",,ken,mamf1238,"kend1255, keny1279"
Mam,,mam,,mamm1241,
Mampruli,"Eastern Mampruli, Western Mampruli",maw,,mamp1244,"east2395, west2462"
Mampruli-Dagbani,"Dagbani, Mampruli",,"dag, maw",mamp1246,"dagb1246, mamp1244"
"Mam, Southern",,mms,,mams1234,
"Mam, Tajumulco",,mpf,,mamt1234,
"Mam, Todos Santos Cuchumatán",,mvj,,mamt1235,
Mamusi,"Melkoi, Nuclear Mamusi",kdf,,mamu1254,"melk1241, nucl1511"
Mamuju,"Nuclear Mamuju, Padang, Sinyonyoi, Sumare-Rangas",mqx,,mamu1255,"nucl1567, pada1262, siny1244, suma1267"
Mamusa-Mengen,"Mamusi, Mengen",,"kdf, mee",mamu1256,"mamu1254, meng1267"
Mamvu,"Amengi, Nuclear Mamvu",mdi,,mamv1243,"amen1243, nucl1421"
Manangkari,,znk,,mana1248,
Manangba-Nar-Phu,"Manange, Nar Phu",,"nmm, npa",mana1287,"mana1288, narp1239"
Manange,Prakaa,nmm,,mana1288,prak1243
Manamic linkage,"Bam-Manam, Kis-Wogeo, Medebur",,mjm,mana1294,"bamm1241, kisw1234, mede1237"
Manam,Wanami,mva,,mana1295,wana1266
Manambu,,mle,,mana1298,
Manao,,,,mana1299,
Manadoic Malay,"Gorap, Manado Malay, North Moluccan Malay",,"goq, xmm, max",mana1300,"gora1261, mala1481, nort2828"
Manam-Sepa,"Manam, Sepa (Papua New Guinea)",,"mva, spe",mana1301,"mana1295, sepa1241"
Manambu-based pidgin,Kwoma-Manambu Pidgin,,,mana1302,kwom1264
Manambu-Yalaku,"Manambu, Yalaku",,"mle, ylg",mana1303,"mana1298, yelo1243"
Manchu-Jurchen,"Jurchen, Manchu-Xibe",,juc,manc1250,"jurc1239, manc1251"
Manchu-Xibe,"Manchu, Xibe",,"mnc, sjo",manc1251,"manc1252, xibe1242"
Manchu,"Alechuxa, Bala (China), Jing, Lalin",mnc,,manc1252,"alec1238, bala1242, jing1263, lali1241"
Mandeali,,mjl,,mand1409,
Manda-Kui,"Kui-Kuvi, Manda-Pengo",,,mand1411,"kuik1244, mand1412"
Manda-Pengo,"Manda (India), Pengo",,"mha, peg",mand1412,"mand1413, peng1244"
Manda (India),,mha,,mand1413,
Mandarin Chinese,"Beijingic, Beijing Mandarin, Taibei Mandarin, Central Plain Guanhua, Xi'an Mandarin, Xining Mandarin, Zhengzhou Mandarin, Jilu Guanhua, Jinan Mandarin, Tianjin Mandarin, Jianghuai Guanhua, Hefei Mandarin, Nanjing Mandarin, Ningxia Mandarin, Northeastern Mandarin, Ha'erbin Mandarin, Shenyang Mandarin, Qingdao Mandarin, Rongcheng Mandarin, Lanyin, Lanzhou Mandarin, Wulumuqi Mandarin, Yinchuan Mandarin, Southwestern Guanhua, Chengdu Mandarin, Guiyang Mandarin, Kunming Chinese, Wuhan Mandarin, Yangzhou Mandarin, Yingshan Mandarin, Yuci Mandarin",cmn,,mand1415,"beij1235, beij1234, taib1240, huab1238, xian1253, xini1234, zhen1241, jilu1239, jina1245, tian1238, jing1262, hefe1234, nanj1234, ning1279, nort3283, haer1234, shen1252, qing1240, rong1271, xibe1241, lanz1234, wulu1243, yinc1239, xina1239, chen1267, guiy1236, kunm1234, wuha1234, yang1306, ying1249, yuci1234"
Manda (Australia),,zma,,mand1416,
Mandandanyi,,zmk,,mand1417,
Mandjak,"Bok, Cur, Likes-Utsia, Lund, Sarar, Teixeira Pinto, Tsaamo, Yu",mfv,,mand1419,"bokk1238, curr1242, like1238, lund1264, sara1315, teix1238, tsaa1241, yuuu1238"
Manda-Matumba,"Manda, Matumba",mgs,,mand1423,"mand1478, matu1257"
Mandari,,mqu,,mand1425,
Manding-Kpelle,"Central Mande, Southwest Mande",,,mand1431,"cent2047, sout2842"
Manding-Jogo,"Jogo-Jeri, Manding-Vai",,,mand1432,"jogo1241, mand1433"
Manding-Vai,"Manding-Mokole, Vai-Kono",,,mand1433,"mand1434, vaik1238"
Manding-Mokole,"Manding, Nuclear Mokole",,,mand1434,"mand1435, nucl1445"
Manding,"East Manding, West Manding",,,mand1435,"east2425, west2499"
Mandinka,,mnk,,mand1436,
Mande Samo,"Matya Samo, Maya Samo, Southern Samo",,"stj, sym, sbd",mand1437,"maty1235, maya1281, sout2844"
Mandara,"Simberi, Big Tabar, Tatau",tbf,,mand1440,"simb1257, taba1261, tata1256"
Mandar,"Balanipa, Majene, Malunda, Pamboang, Sendana",mdr,,mand1442,"bala1313, maje1237, malu1246, pamb1245, send1239"
Mander,,mqr,,mand1443,
Mandobo Atas,"Langgoan, Maju Mandobo, Wariktop, Winiktit",aax,,mand1444,"lang1342, maju1236, wari1272, wini1246"
Mandobo Bawah,"Central Mandobo, Kaisah, Osso, Selil, Tinggam, Mariam Mandobo, Kouh, Mariam",bwp,,mand1445,"cent2381, kais1244, osso1235, seli1235, ting1255, mari1449, kouh1235, mari1450"
Mandan,,mhq,,mand1446,
Mandahuaca,,mht,,mand1448,
Macro-Mandaic,"Classical Mandaic, Neo-Mandaic",,"myz, mid",mand1468,"clas1253, nucl1706"
Mande,"Eastern Mande, Western Mande",,,mand1469,"east2697, west2780"
Mandi-Muniwara,"Juwal, Wiarumus",,"mwb, tua",mand1470,"juwa1238, wiar1238"
Mandarinic,"Daohua, Hezhou, Mandarin Chinese, Tangwang, Wutunhua, Zhongyuan",,"cmn, wuh",mand1471,"daoh1239, hezh1244, mand1415, tang1373, wutu1241, zhon1236"
Mandaraic,"Dghwedeic, Podoko, Wandala-Malgwa-Glavda",,,mand1472,"dghw1240, podo1243, wand1280"
Mandobo,"Kokenop Mandobo, Mandobo Atas, Mandobo Bawah",,"aax, bwp",mand1473,"koke1241, mand1444, mand1445"
Mandi-Nyokon,"Nomaande, Nyokon, Tunen",,"lem, nvo, tvu",mand1474,"noma1260, nyok1243, tune1261"
Manda-Ngoni,"Manda-Matumba, Tanzania-Mozambique Ngoni",,mgs,mand1475,"mand1423, ngon1269"
Mandalay Myanmar Sign Language,,,,mand1477,
Manem,,jet,,mane1266,
Manenkan,"Eastern Maninkakan, Konyanka Maninka, Manya, Sankaran Maninka",,"emk, mku, mzj, msc",mane1267,"east2426, kony1250, many1261, sank1253"
Manenguba,"Bassossi, Central Manenguba, Mbo (Cameroon)",,"bsi, mbo",mane1268,"bass1260, cent2284, mboc1235"
Manep-Barem,"Barem, Manep",,"buq, mkr",mane1269,"brem1238, mala1495"
Mangio,,,,mang1364,
Mangic,"Pakanic, Mang",,zng,mang1377,"boly1240, mang1378"
Mang,,zng,,mang1378,
Mangarrayi,,mpc,,mang1381,
Mangerr,,zme,,mang1382,
Mangala,,mem,,mang1383,
Mangayat,,myj,,mang1387,
Mangbetu-Asua,"Lombi, Mangbetuic",,lmi,mang1393,"lomb1254, mang1424"
Mangbetu,"Makere, Malele, Meje, Nuclear Mangbetu, Popoi",mdj,,mang1394,"make1250, male1283, meje1239, nucl1420, popo1291"
Mangbutu,"Andinai, Angwe, Makutana",mdk,,mang1396,"andi1256, angw1242, maku1275"
Mango,,mge,,mang1398,
Manga Kanuri,"Dagara, Manga",kby,,mang1399,"daga1273, mang1400"
Mangareva,,mrv,,mang1401,
Mangseng,"Marapu, Umua",mbh,,mang1403,"mara1401, umua1241"
Mangga Buang,"Kwasang, Lagis",mmo,,mang1404,"kwas1244, lagi1237"
Manggarai,"Central Manggarai, Eastern Manggarai, West-Central Manggarai, Western Manggarai",mqy,,mang1405,"cent2073, east2463, west2536, west2537"
Mangas,,zns,,mang1416,
Mangar,,,,mang1417,
Mangree,,,,mang1422,
Mangarrayi-Maran,"Mangarrayi, Maran",,mpc,mang1423,"mang1381, mara1414"
Mangbetuic,"Asoa, Mangbetu",,"asv, mdj",mang1424,"asoa1238, mang1394"
Mangbutu-Efe,"Leseic, Mamvu, Mangbutu",,"mdi, mdk",mang1425,"lese1245, mamv1243, mang1396"
Manguean,"Chiapanec, Mangue",,"cip, mom",mang1426,"chia1262, moni1237"
Mango (China),,,,mang1429,
Manggaraiic,"Kepo', Komodo, Manggarai Khusus, Rembong-Wangka, Waerana-Razong",,"kuk, kvh, reb",mang1430,"kepo1237, komo1261, mang1436, remb1250, waer1238"
Mangarrayi-Maran (Unattested),Yugul,,ygu,mang1435,yugu1250
Manggarai Khusus,"Manggarai, Riung",,"mqy, riu",mang1436,"mang1405, riun1237"
Sougb,,mnx,,mani1235,
Maniq-Menraq-Batek,"Maniqic, Menraq-Batek",,,mani1290,"mani1291, menr1235"
Maniqic,"Kensiu, Kintaq, Maniq",,"kns, knq, tnz",mani1291,"kens1248, kint1239, tong1308"
Manipuri,"Loi, Meitei, Pangal",mni,,mani1292,"loii1241, meit1246, pang1284"
Maningrida,"Bureran, Nakkara-Ndjebbana",,,mani1293,"bure1238, nakk1234"
Manigri-Kambolé Ede Nago,,xkb,,mani1294,
Manipa,,mqp,,mani1297,
Maninka-Mori,"Koro-Koyaga, Mahou, Wojenaka, Worodougou",,"mxx, jod, jud",mani1303,"koro1315, maho1249, woje1238, woro1256"
Manjaku-Mankanya-Pepel,"Cur-Bok-Cotier, Mankanya",,knf,manj1250,"curb1234, mank1251"
Mankanya,"Burama, Shadal",knf,,mank1251,"bura1268, shad1238"
Mankiyali,,nlm,,mank1256,
Mankonic,"Bafut, Bambili-Bambui, Mendankwe-Nkwen, Ngemba",,"bfd, baw, mfd, nge",mank1258,"bafu1246, bamb1266, mend1261, ngem1255"
Man Met,,mml,,manm1238,
Mannan,,mjv,,mann1246,
Mann,,mev,,mann1248,
Manombai,,woo,,mano1275,
Manobo,"Central and Southern Manobo, North Manobo",,,mano1276,"cent2255, nort2884"
Northern Mansi,"Sosva Mansi, Ob Mansi, Sygva Mansi, Upper Loz'va Mansi",mns,,mans1258,"nort2677, obma1234, sygv1234, uppe1461"
Mansoanka,,msw,,mans1259,
Mansim,,,,mans1260,
Mansakan,"Davawenyo, Eastern Mansakan, Kamayo, Western Mansakan",,"daw, kyk",mans1261,"dava1245, east2477, kama1363, west2552"
Mansaka,,msk,,mans1262,
Mansic,"North-Central Mansi, Southern Mansi",,,mans1269,"nort3271, sout3253"
Mantsi,,nty,,mant1265,
Mantharta,"Djiwarli-Thiin, Wariyangga-Dhargari",,djl,mant1266,"djiw1240, wari1270"
Manta,,myg,,mant1267,
Manumanaw Karen,,kxf,,manu1255,
Manusela,"Hatuolu, Kanikeh, Maneo, South Manusela",wha,,manu1258,"hatu1246, kani1284, mane1264, sout2894"
Manubaran,"Doromu-Koki, Maria (Papua New Guinea)",,"kqc, mds",manu1261,"doro1266, mari1438"
Manus,"East Manus, Mokoreng-Loniu, Pak-Tong, West Manus",,pkg,manu1262,"east2460, moko1244, pakt1239, west2533"
Manusela-Huaulu,"Huaulu, Manusela",,"hud, wha",manu1263,"huau1237, manu1258"
Manx,,glv,,manx1243,
Manyika,"Bocha, Bunji (Atlantic-Congo), Bvumba, Domba, Guta, Here, Hungwe, Jindwi, Karombe, Nyamuka, Nyatwe, Unyama",mxc,,many1258,"boch1238, bunj1246, bvum1238, domb1245, guta1238, here1251, hung1277, jind1239, karo1295, nyam1273, nyat1245, unya1238"
Manyawa,,mny,,many1259,
Manya,,mzj,,many1261,
Manza-Ngbaka,"Manzaic, Ngbaka Minagende",,nga,manz1241,"manz1242, ngba1285"
Manzaic,"Manza, Ngbaka-Manza-Ali",,mzv,manz1242,"manz1243, ngba1286"
Manza,,mzv,,manz1243,
Mao Naga,Paomata,nbi,,maon1238,paom1238
Maonan-Mak-Sui,"Mak-Ai-Cham, Maonan-Chadong, Sui",,swi,maon1239,"maka1300, maon1240, suii1243"
Maonan-Chadong,"Chadong, Maonan",,"cdy, mmd",maon1240,"chad1240, maon1241"
Maonan,,mmd,,maon1241,
Blue Nile Mao,"Bambassi, West Mao",,myf,maoo1243,"bamb1262, west2445"
Maore Comorian,"Maore, Shindzwani",swb,,maor1244,"maor1245, shin1266"
Maori,"Eastern North Island Maori, Te Arawa Tuuhoe, Ngaati Porou, Ngaati Kahungunu, Kai-Tahu South Island, Western North Island Maori, North Auckland Maori, Ngaapuhi, Te Aupouri, Ngaati Tuuwharetoa, Taranaki, Waikato, Wanganui",mri,,maor1246,"east2850, bayo1258, ngaa1242, ngaa1243, sout2867, west2940, nort2846, ngaa1244, teau1234, roto1247, tara1315, waik1246, wang1297"
Maoric,"Maori, Moriori",,mri,maor1247,"maor1246, mori1267"
Ma (Papua New Guinea),Mina,mjn,,mapa1244,mina1273
Mape,"Mape-East, Nagac, Mape-West",mlh,,mape1249,"fuka1239, niga1243, nucl1610"
Mapena,,mnm,,mape1250,
Mapia,,mpy,,mapi1250,
Mapidian-Mawayana,,mpw,,mapi1252,
Pidjanan,"Mapidian-Mawayana, Wapishanan",,mpw,mapi1253,"mapi1252, wapi1252"
Mapos Buang,"Buweyeu, Chimbuluk, Mambump, Mapos, Papakene, Wagau, Wins",bzh,,mapo1242,"buwe1237, chim1298, mamb1304, mapo1243, papa1266, waga1263, wins1237"
Mapoyo-Tamanaku,"Cumana, Mapoyo-Yawarana, Paravilhana-Pauxiana, Tamanaku",,tmz,mapo1244,"coas1302, mapo1245, para1308, tama1338"
Mapoyo-Yawarana,"Mapoyo, Pémono, Yabarana",,"mcg, pev, yar",mapo1245,"mapo1246, pemo1245, yaba1248"
Mapoyo,,mcg,,mapo1246,
Mapos-Mangga-Wagau,"Mangga Buang, Mapos Buang",,"mmo, bzh",mapo1247,"mang1404, mapo1242"
Mappi-Digul Awyu,"Aghu, Central Awyu",,"ahh, awu",mapp1234,"aghu1255, cent2118"
Mapun,,sjm,,mapu1244,
Mapudungun,"Moluche, Pehuenche, Picunche",arn,,mapu1245,"molu1245, pehu1241, picu1247"
Ye'kwana,"Maitsi, Mayongong",mch,,maqu1238,"mait1253, mayo1265"
Maquiritari-Wayumara,"Ye'kwana, Wayumara",,mch,maqu1239,"maqu1238, wayu1242"
Maratino,,,,mara1266,
Maraghei,Dikini,vmh,,mara1373,diki1238
Marathi,"Andh, Bijapuri, Deccan Marathi, Kalvadi",mar,"anr, dcc",mara1378,"andh1242, bija1243, decc1239, kalv1238"
Maram Naga,"Maram Khullen Circle, Ngatan, T. Khullen, Willong Circle",nma,,mara1379,"mara1380, ngat1245, tkhu1238, will1242"
Maraic,"Nuclear Maraic, Senthang Chin, Zotung Chin",,"sez, czt",mara1381,"nucl1757, sent1260, zotu1235"
Mara Chin,"Hlawthai, Tlongsai",mrh,,mara1382,"hlaw1238, tlon1239"
Marra,,mec,,mara1385,
Maranunggu,,zmr,,mara1386,
Marama,,lrm,,mara1392,
Marachi,,lri,,mara1393,
Mararit,"Abou Charib, Nuclear Mararit",mgb,,mara1396,"abou1238, nucl1447"
Marau,Warabori,mvr,,mara1397,wara1296
Maragus,,mrs,,mara1399,
Maranao,,mrw,,mara1404,
Maramba,,myd,,mara1407,
Marawan,,,,mara1408,
Maragua,,,,mara1409,
