Language Name,Dialect(s) Name(s),Language Iso,Dialect(s) Iso,Language Glot,Dialect(s) Glot
Fala,"Lagarteiru, Mañegu, Valvideiru",fax,,fala1241,"laga1241, mane1261, valv1238"
Falamic,"Bawm Chin, Bualkhaw Chin, Falam Chin",,"bgr, cbl, cfm",fala1242,"bawm1236, bual1235, fala1243"
Falam Chin,,cfm,,fala1243,
Falam Chin (Retired),,flm,,fala1245,
Fali,,fli,,fali1285,
Fali-Gude,"Fali, Gude",,"fli, gde",fali1290,"fali1285, gude1246"
Faliscan,,xfa,,fali1291,
Fam,,fam,,famm1241,
Fanagalo,"Chilapalapa, Cikabanga",fng,,fana1235,"chil1261, cika1238"
Fang (Equatorial Guinea),"Fang, Make, Mvae, Ntum, Ogowe",fan,,fang1246,"fang1247, make1249, mvae1238, ntum1238, ogow1238"
Fang (Cameroon),,fak,,fang1248,
Fania,"Northern Fania, Southern Fania",fni,,fani1244,"nort2772, sout2783"
Farefare,"Booni, Frafra, Gudeni, Gurune, Nankani, Nankana, Talni",gur,,fare1241,"boon1238, fraf1238, gude1239, guru1262, nank1248, nank1249, taln1239"
Vach-Vasjugan,"Vach Khanty, Vasjugan Khanty",,,fare1244,"vach1239, vasj1234"
Far East Polynesian,"Mangareva, Rapanui",,"mrv, rap",fare1245,"mang1401, rapa1244"
Far Northwestern Nisu,,nsf,,farn1234,
Faroese,,fao,,faro1244,
Farsic-Caucasian Tat,"Caucasian Tat, Farsic",,,fars1254,"cauc1242, fars1255"
Farsic,"Eastern Farsic, Judeo-Persian, Western Farsi",,"jpr, pes",fars1255,"east2745, jude1257, west2369"
Far Western Muria,,fmu,,farw1235,
Far West Lakes Plain,"Awera, Rasawa-Saponi",,awr,farw1236,"awer1241, rasa1242"
Momu-Fas,"Eastern Fas, Western Fas",fqs,,fass1245,"east2524, west2605"
Fasu,"Kaibu, Namome, Some",faa,,fasu1242,"kaib1243, namo1245, some1244"
Fataleka,,far,,fata1245,
Fataluku-Oirata,"Fataluku, Oirata",,"ddg, oia",fata1246,"fata1247, oira1263"
Fataluku,,ddg,,fata1247,
Fayjatases,,,,fayj1234,
Fayu,,fau,,fayu1238,
Fayu-Kirikiri,"Fayu, Kirikiri",,"fau, kiy",fayu1239,"fayu1238, kiri1256"
Fe'fe',"Ca', Central Fe'Fe', Fa', Nee, Njee-Poantu, Nka', North Fe'Fe', La'fi, Mkwet, Ngam (Cameroon), Ntii, Tungi'",fmp,,fefe1239,"caaa1238, cent2037, faaa1239, neee1239, njee1238, nkaa1238, nort2806, lafi1238, mkwe1238, ngam1266, ntii1238, tung1287"
Fembe,,agl,,femb1238,
Fer-Gula,"Gula (Central African Republic), Kara (Central African Republic)",,"kcm, kah",ferg1237,"gula1266, kara1482"
Pichi,,fpe,,fern1234,
Feroge-Mangaya,"Feroge, Mangayat",,"fer, myj",fero1243,"fero1244, mang1387"
Feroge,,fer,,fero1244,
FH-Jola,"Jola-Esulalu, PF-Jola",,csk,fhjo1234,"jola1262, pfjo1234"
Fiji Hindi,,hif,,fiji1242,
Fijian,"East Viti Levu, Northeast Viti Levu, Southeast Viti Levu, Bau (Fijian), Lutu, Nadrau, Naimasimasi, Namosi, Waidina, Kadavu, Nuclear Vanua Levu, Central Vanua Levu, Northeast Vanua Levu, West Vanua Levu, Southeast Vanua Levu",fij,,fiji1243,"east2898, nort2842, sout2864, bauu1243, lutu1234, nadr1234, naim1234, namo1250, waid1240, kada1285, nucl1825, cent2061, nort2843, west2514, sout2863"
Fijian-based pidgin,Pidgin Fijian,,,fiji1244,pidg1237
Fiji Sign Language,,,,fiji1246,
Filipino,,fil,,fili1244,
Filomeno Mata Totonac,,tlp,,filo1235,
Finasleigh Pama,"Mbabaram, Wamin",,"vmb, wmi",fina1240,"mbab1239, wami1239"
