iso_code,glottocode
glv,manx1243
gmm,gbay1281
gmo,gamo1244
gni,goon1238
gnn,guma1253
gnr,gure1255
goa,guro1248
gob,play1240
gol,gola1255
gor,goro1259
gow,goro1270
gpn,taia1239
gqa,gaan1243
grj,sout2826
gru,kist1241
gsg,germ1281
gss,gree1271
gta,guat1253
gub,guaj1255
gue,guri1247
guf,gupa1247
guh,guah1255
gui,east2555
guk,gumu1244
gum,guam1248
guo,guay1257
gup,gunw1252
guq,ache1246
guz,gusi1247
gva,guan1268
gvc,guan1269
gvf,goli1247
gvn,kuku1273
gvo,gavi1246
gvr,guru1261
gvs,guma1254
gwc,kala1373
gwd,gaww1239
gwi,gwic1235
gww,kwin1241
gxx,weso1238
gyb,garu1246
gyd,kaya1319
gym,ngab1239
gyy,guny1241
hac,gura1251
had,hata1243
hae,east2652
hal,hala1252
har,hara1271
has,hais1244
hay,haya1250
hbb,huba1236
hch,huic1243
heh,hehe1240
hei,heil1246
hem,hemb1242
her,here1253
hia,lama1288
hid,hida1246
hil,hili1240
hke,hund1239
hla,hali1244
hmr,hmar1241
hmt,hamt1247
hna,mina1276
hnh,anii1246
hni,hani1248
hnj,hmon1264
hnn,hanu1241
hoa,hoav1238
hoo,holo1240
hre,hree1244
hsb,uppe1395
hsf,huas1256
hss,hars1241
hto,mini1256
hts,hadz1240
hub,huam1247
huq,tsat1238
hur,halk1245
huu,muru1274
huv,sanm1287
hux,nupo1240
huz,hunz1247
hvn,sabu1255
hwc,hawa1247
ian,iatm1242
iba,iban1264
ibd,iwai1244
ibg,iban1267
icl,icel1236
idu,idom1241
ifb,bata1298
ifm,teke1274
iii,sich1238
ijc,izon1238
ike,east2534
ikt,west2618
ikx,ikkk1242
ilb,ilaa1246
imi,anam1248
imn,imon1245
inb,inga1252
ing,dege1248
inh,ingu1240
ins,indi1237
inz,ines1240
iow,iowa1245
iqu,iqui1243
irh,irar1238
irn,iran1263
isd,isna1241
ise,ital1275
isg,iris1235
isi,nkem1242
iso,isok1239
isr,isra1236
itl,itel1242
its,isek1239
itv,itaw1240
itz,itza1241
ivv,ivat1242
iwm,iwam1256
ixc,ixca1245
ixl,ixil1251
izh,ingr1248
jae,yabe1254
jai,jaka1246
jao,yany1243
jaq,yaqa1246
jar,jara1263
jbj,aran1237
jbt,djeo1235
jbu,juku1254
jeb,jebe1250
jeh,jehh1245
jei,yeii1239
jel,yelm1242
jet,mane1266
jhi,jeha1242
jic,toll1241
jiu,youl1235
jle,ngil1242
jmd,yamd1240
jna,jang1254
jnj,yems1235
jqr,jaqa1244
jru,japr1238
jsl,japa1238
jua,juma1249
juc,jurc1239
jup,hupd1244
jur,juru1256
jya,jiar1240
kaa,kara1467
kab,kaby1243
kac,kach1280
kah,kara1482
kam,kamb1297
kao,xaas1235
kap,bezh1248
kaq,capa1241
kay,kama1373
kaz,kaza1248
kbc,kadi1248
kbh,cams1241
kbk,gras1249
kbl,kane1243
kbq,kama1370
kbr,kafa1242
kbv,dera1245
kbx,apma1241
kcd,ngka1235
kcg,tyap1238
kck,kala1384
kcl,kela1255
kcn,nubi1253
kcr,katl1237
kct,kaia1245
kcu,kami1256
kcv,kete1252
kdd,yank1247
kde,mako1251
kdj,kara1483
kdm,kago1247
kdr,kara1464
kee,east1472
kei,keii1239
ker,kera1255
kex,kukn1238
kfk,kinn1249
kfz,koro1298
kge,kome1238
kgj,gama1251
kgk,kaiw1246
kgo,kron1241
kgp,kain1272
kgq,kamo1255
kgr,abun1252
kgs,kumb1268
kgy,kyer1238
khb,luuu1242
khd,badi1247
khe,koro1312
khg,kham1282
khv,khva1239
khw,khow1242
kia,kimm1246
kic,kick1244
kig,kima1246
kii,kits1249
kij,kili1267
kim,kara1462
kin,kiny1244
kio,kiow1266
kiw,nort2930
kiy,kiri1256
kjc,coas1295
kje,kisa1266
kjg,khmu1256
kjh,khak1248
kjj,khin1240
kjp,pwoe1235
kjq,west2632
kjs,east2516
kkh,khun1259
kki,kagu1239
kkk,koko1269
kkl,kosa1249
kkw,teke1280
kky,gugu1255
kla,klam1254
klb,kili1268
kld,gami1243
kle,kulu1253
klj,turk1303
kln,kale1246
klq,rumu1243
klr,khal1275
kls,kala1372
klu,klao1243
kmg,kate1253
kmh,kala1397
kmj,kuma1274
kmn,awtu1239
kmr,nort2641
kms,kama1367
kmt,kemt1242
kmz,khor1269
kna,dera1248
kne,kank1243
kng,koon1244
knj,west2635
knk,kura1250
knm,kana1291
knw,kung1261
kny,kany1247
koe,kaci1244
kog,cogu1240
koi,komi1269
