language_id,language_name,latitude,longitude,lineage
hara1271,Harari,9.30485,42.1332,"Afro-Asiatic, Semitic, West Semitic, Ethiosemitic, South Ethiopic, Harari-East Gurage"
hais1244,Haisla,53.964,231.398,"Wakashan, Northern Wakashan"
hait1244,Haitian,18.795135,287.863885,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian, Oil, Central Oil, Macro-French, Circum-Caribbean French"
haus1257,Hausa,11.1513,8.7804,"Afro-Asiatic, Chadic, West Chadic, West Chadic A, West Chadic A.1"
havu1238,Havu,-1.99975,28.8624,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Great Lakes Bantu, Western Lakes Bantu, Kivu, Forest Kivu, Hunde-Havu"
hawa1245,Hawaiian,19.6297,204.57,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central Pacific linkage, Tokalau Fijian, Polynesian, Nuclear Polynesian, Northern Outlier Polynesian-East Polynesian, Solomons Northern Outlier Polynesian-East Polynesian, Central Northern Outlier Polynesian-East Polynesian, East Polynesian, East Polynesian Proximal"
sout2956,Southern Haida,53.2616,227.992,Haida
haya1250,Haya,-1.70878,31.4846,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Great Lakes Bantu, West Nyanza, Rutara, South Rutara"
haza1239,Hazaragi,33.3708,64.5105,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic"
hamb1245,Hamba de Lomela,-2.49047,24.2299,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, North Zaire River, Inner Basin Bantu, Cuvette, Nkutsuic, Tetelaic"
huba1236,Huba,10.3544,13.139,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Marghic, Kilba-South Margi"
heib1243,Ebang,11.2908,30.5282,"Heibanic, West-Central Heibanic, Central Heibanic, Ebang-Logol, Ebang-Laru"
